GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000000003.10	4	0	0	0	2	0	2	0	12	0	0	0	16	0	13	0	6	0	0	0	6	1	13	0	0	0	5	0	3	0	6	0	2	0	5	0	5	1	5	1
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	0	14	0	9	0	7	1	4	1	4	2	1	7	3	4	5	4	2	4	14	3	10	2	9	1	0	3	4	0	5	2	8	4	15	3	9	2	6	0	5
ENSG00000000457.9	6	7	0	4	1	4	4	8	0	0	3	3	1	3	3	5	6	9	6	12	2	8	3	5	2	4	5	4	3	9	7	7	5	16	8	14	3	10	10	8
ENSG00000000460.12	1	1	1	3	2	2	1	1	0	1	0	0	0	0	0	5	2	3	4	9	3	3	0	1	0	1	0	0	0	2	3	2	4	16	1	4	1	0	2	1
ENSG00000000938.8	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	2	17	21	2	1	0	0	0	1	0	0	2	2	31	12	2	2	2	3	1	1	1	2	1	0
ENSG00000000971.11	21	3	0	2	0	1	0	2	131	18	10	1	3	2	218	137	10	13	4	0	9	6	10	7	7	3	16	7	1	2	22	17	8	2	37	21	19	26	3	6
ENSG00000001036.9	1	1	0	1	1	0	1	0	1	0	0	1	1	2	0	1	2	2	0	0	0	0	2	1	0	0	1	4	1	1	1	2	0	0	0	0	0	0	0	1
ENSG00000001084.6	6	9	12	7	9	5	6	4	27	25	2	1	9	8	10	3	9	5	8	7	22	28	6	4	2	1	16	30	12	10	10	18	4	5	10	11	23	58	13	17
ENSG00000001460.13	1	0	2	8	1	4	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	5	0	2	0	0	0	2	0	0	0	2	0	4	1	0	0	4	0	5
ENSG00000001461.12	9	1	46	30	54	15	9	4	2	1	4	0	11	3	0	1	9	9	6	4	78	68	20	5	3	0	9	10	10	9	14	9	6	31	25	16	13	15	6	4
ENSG00000001497.12	5	2	6	6	6	7	5	6	5	0	1	2	1	1	5	1	5	5	3	4	2	3	3	3	0	1	7	2	4	4	2	3	3	6	4	0	4	0	7	5
ENSG00000001561.6	5	0	21	3	12	0	1	1	1	0	3	3	18	6	1	0	10	1	0	0	23	0	5	0	11	0	3	0	6	1	9	0	6	2	9	3	9	0	2	1
ENSG00000001617.7	0	0	2	1	1	0	3	8	0	0	4	1	0	3	1	0	7	5	5	2	6	5	4	3	0	1	5	3	11	4	1	3	3	1	3	2	6	3	2	1
ENSG00000001626.10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	4	13	21	49	0	0	12	22	1	0	7	35	0	0	2	3	2	5	2	2
ENSG00000001629.5	13	23	34	60	29	49	34	32	4	4	16	5	14	39	5	7	11	23	12	23	15	48	17	20	3	6	22	38	14	29	18	68	18	114	33	51	16	34	18	44
ENSG00000001630.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001631.10	6	6	16	18	9	6	6	3	2	1	6	1	6	7	2	2	4	14	5	7	11	16	1	5	5	2	6	11	7	11	10	9	9	25	5	17	5	8	8	10
ENSG00000002016.12	3	9	1	4	0	5	4	13	0	1	1	2	1	3	3	4	1	4	1	7	1	5	1	1	4	5	2	2	2	6	3	2	3	15	2	8	1	7	5	8
ENSG00000002079.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330.9	1	0	0	3	5	3	5	3	2	0	5	1	1	2	3	2	1	5	3	2	3	1	0	0	0	0	2	3	2	3	0	2	4	3	0	0	0	1	1	0
