GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000154783.6	2	4	1	0	1	1	2	1	2	1	2	2	6	9	1	1	11	27	3	9	2	3	0	3	0	2	8	5	14	21	1	4	1	3	2	4	5	6	12	24
ENSG00000154803.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154813.5	3	0	0	0	3	0	2	0	0	0	2	0	1	0	1	0	0	0	3	0	2	0	0	0	3	0	2	0	0	0	0	0	1	0	1	0	3	0	0	0
ENSG00000154814.9	1	2	1	11	1	6	0	5	1	0	2	1	3	6	1	7	2	6	1	4	0	5	1	6	3	6	1	10	2	16	1	15	6	51	0	13	1	10	0	12
ENSG00000154822.11	1	46	7	82	0	33	3	23	1	0	2	22	3	23	2	14	0	20	11	449	1	14	0	3	2	29	1	32	1	38	0	41	1	44	0	10	2	13	0	26
ENSG00000154832.10	2	0	3	2	2	0	8	0	0	0	4	0	1	0	0	0	2	0	1	0	1	0	4	0	2	0	2	0	5	0	6	0	5	0	1	0	5	0	3	0
ENSG00000154839.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000154845.11	4	7	8	6	2	7	8	11	3	1	7	6	3	10	7	1	12	22	9	25	10	7	2	4	2	0	8	23	7	11	12	17	8	6	8	13	5	15	11	22
ENSG00000154856.8	5	2	0	1	1	1	3	4	0	0	6	1	0	0	0	0	1	0	2	3	5	8	0	2	0	1	2	1	0	0	3	2	0	0	0	0	2	3	7	6
ENSG00000154864.7	3	5	2	3	5	5	1	0	0	2	0	0	1	1	3	11	2	16	0	0	8	15	1	1	0	0	1	7	8	14	5	1	0	0	1	1	1	9	1	2
ENSG00000154874.10	0	1	11	6	1	2	2	2	0	0	0	0	0	0	0	0	2	0	0	2	5	0	0	1	2	0	0	1	1	1	1	4	2	7	1	1	0	4	3	2
ENSG00000154889.12	1	0	0	1	1	4	1	3	0	0	0	0	2	2	0	1	0	4	0	2	3	2	0	1	1	1	2	2	2	1	0	6	1	2	2	2	0	3	3	2
ENSG00000154898.11	0	0	11	6	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSG00000154914.12	0	0	0	0	0	7	4	3	0	0	0	0	1	3	1	1	0	1	10	51	5	23	0	2	0	0	3	2	0	0	1	1	0	0	1	0	1	4	0	1
ENSG00000154917.6	1	0	10	6	23	10	21	20	0	0	1	1	0	0	0	0	0	0	1	4	0	3	3	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2	0	2
ENSG00000154920.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000154928.12	0	2	8	137	6	72	7	127	0	0	0	0	0	1	0	2	0	3	0	2	0	10	1	7	1	9	0	2	0	14	1	19	0	4	4	26	0	6	0	10
ENSG00000154930.10	1	4	2	6	2	7	0	2	4	0	4	3	2	4	0	0	2	3	9	13	2	11	3	7	1	1	3	8	0	6	4	3	1	4	2	5	1	9	0	5
ENSG00000154945.6	3	2	5	3	9	3	3	0	1	0	4	0	3	0	4	1	2	2	5	2	1	0	3	0	8	0	2	0	10	0	5	3	9	5	3	1	4	0	6	0
ENSG00000154957.9	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	0	1	1	4	3	2	0	0	0	0	2
ENSG00000154975.9	1	3	17	366	8	87	3	23	0	0	0	0	1	1	0	0	0	0	4	7	0	1	0	3	0	1	0	6	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000154978.8	3	9	2	10	1	7	3	24	1	2	0	2	3	11	1	7	2	16	3	2	1	14	1	13	1	8	8	38	5	50	2	39	8	121	1	8	3	17	4	21
ENSG00000154997.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155008.9	0	0	1	3	0	0	0	3	0	0	0	2	3	8	1	1	0	3	0	9	1	10	0	7	3	2	1	4	1	3	4	8	1	9	3	7	1	7	1	4
ENSG00000155011.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155026.12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000155034.14	1	2	1	1	1	4	1	1	2	0	2	0	0	2	0	0	1	0	0	1	0	3	0	3	1	1	0	2	0	3	1	0	1	1	0	0	0	3	1	1
ENSG00000155052.14	0	2	6	28	15	55	6	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000155066.11	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	5	2	0	0	0	0	0	0	3	1	1	0	1	0	1	1	0	1
ENSG00000155070.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155085.11	0	1	2	6	3	3	0	2	0	1	0	1	0	2	0	0	0	4	1	2	1	1	0	3	2	3	0	1	0	1	1	4	3	16	0	6	3	7	1	2
ENSG00000155087.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155090.10	6	0	0	0	1	0	5	0	2	0	11	0	17	0	9	0	21	1	12	1	12	0	4	0	22	0	13	0	12	0	7	0	6	0	13	0	10	0	13	0
ENSG00000155093.13	2	14	2	17	15	68	7	272	0	0	1	2	1	0	1	0	0	2	0	0	8	20	1	3	0	1	2	17	7	0	6	72	1	0	1	2	6	43	0	5
ENSG00000155096.9	11	2	20	4	20	4	32	4	12	5	11	1	10	5	10	3	15	8	40	50	17	6	13	3	18	0	15	8	19	4	11	7	10	11	15	6	20	11	17	6
ENSG00000155097.7	4	4	13	3	23	6	9	5	3	2	3	1	9	9	4	1	4	6	6	7	6	8	5	3	3	0	1	6	6	7	3	8	11	3	13	9	2	3	4	6
ENSG00000155099.3	1	2	4	10	2	2	1	3	0	0	2	1	0	1	0	0	0	0	1	3	1	2	2	3	2	0	1	2	1	1	0	6	1	9	0	1	0	0	0	2
ENSG00000155100.6	1	0	3	2	0	2	1	1	0	0	1	0	3	1	0	0	0	2	1	0	0	4	2	0	1	0	0	1	1	1	2	1	2	1	2	4	1	1	0	1
ENSG00000155111.10	2	7	6	28	7	28	16	36	0	8	1	4	1	11	3	5	2	12	7	47	25	69	0	4	0	3	2	16	2	24	0	32	3	72	4	13	1	15	7	40
ENSG00000155115.6	3	0	0	0	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	6	0	1	0	0	0	4	0	2	3	1	0	1	0	0	0
ENSG00000155130.5	8	0	37	1	16	0	52	1	8	0	8	0	9	0	4	0	12	0	30	0	18	0	10	0	4	0	21	1	21	0	19	0	19	0	12	0	9	0	6	0
ENSG00000155158.16	3	5	11	28	7	13	1	8	0	1	0	0	12	16	1	3	1	16	0	0	9	6	1	3	1	1	3	15	4	8	5	25	1	11	2	9	2	20	4	26
ENSG00000155189.7	4	7	8	8	2	7	5	3	0	1	0	0	2	4	2	0	0	3	5	5	1	8	0	0	1	0	3	7	0	4	3	4	2	11	2	2	0	5	3	6
ENSG00000155229.16	3	2	1	12	2	4	8	4	1	0	1	2	4	3	0	2	7	8	6	2	4	4	4	2	1	2	2	4	4	2	3	3	1	5	4	3	4	6	7	4
ENSG00000155252.12	2	0	5	0	3	0	3	0	1	0	1	0	6	0	0	0	4	0	0	0	3	0	3	0	2	0	4	0	4	0	3	0	1	0	1	0	0	0	3	0
ENSG00000155254.8	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	2	0	0	0	4	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	1	0	6	0
ENSG00000155256.13	3	7	1	5	4	3	2	2	1	4	1	0	0	4	1	1	2	2	3	3	1	0	3	0	0	2	5	10	5	5	5	7	3	2	1	3	4	7	2	3
ENSG00000155265.6	0	0	1	7	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155269.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155275.14	4	0	0	3	1	7	4	8	1	1	1	0	0	3	2	0	3	3	3	6	3	4	0	2	0	2	1	2	4	5	1	5	0	2	2	5	0	5	3	7
ENSG00000155282.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155287.6	5	6	3	7	2	3	4	2	2	2	0	0	1	0	1	2	4	5	1	0	2	4	1	0	2	1	2	4	3	5	5	2	1	2	4	3	6	3	0	1
ENSG00000155304.4	2	1	14	1	6	0	4	1	3	0	2	0	6	0	0	0	0	1	4	0	6	0	2	0	3	0	2	2	4	0	4	1	2	2	6	1	3	0	1	1
ENSG00000155307.13	0	4	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	10	0	0	0	4	0	0	0	2	1	5	5	11	1	9	1	10	0	5	0	9	0	0
ENSG00000155313.11	7	12	2	25	3	8	2	15	4	3	1	6	2	23	0	4	3	23	8	57	2	45	0	15	6	31	5	49	1	23	3	20	7	75	3	52	2	32	12	59
ENSG00000155324.5	1	9	1	5	0	13	0	1	0	3	0	1	3	25	0	6	0	4	11	144	2	19	3	7	0	5	0	35	0	5	1	25	1	11	4	35	2	12	4	14
ENSG00000155329.7	2	4	2	3	0	0	1	0	3	0	2	0	0	4	1	2	0	1	0	1	0	0	0	1	0	1	1	2	0	1	1	1	0	3	1	2	0	2	3	0
ENSG00000155330.5	2	1	1	0	2	2	3	1	2	0	1	0	2	3	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	2	1	1	4	0	3	0	1	3	0
ENSG00000155363.14	4	4	0	0	1	1	0	3	3	2	1	1	8	2	5	3	7	3	5	6	5	3	6	0	0	0	11	3	12	5	3	2	9	4	1	2	8	0	1	2
ENSG00000155366.12	4	0	2	0	0	0	9	1	5	0	4	0	10	0	2	0	10	0	7	0	7	0	4	0	1	0	8	0	12	0	5	0	2	0	5	0	7	0	4	0
ENSG00000155367.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155368.12	5	0	12	0	7	1	12	1	12	0	17	0	15	0	17	0	5	0	2	0	29	1	11	1	6	0	9	1	3	0	7	0	5	1	7	0	6	2	1	0
ENSG00000155380.7	2	1	6	2	1	2	17	4	6	0	23	1	4	6	10	4	0	0	12	3	8	1	1	0	18	0	11	4	4	1	13	3	4	2	1	0	2	1	7	4
ENSG00000155393.8	1	6	2	5	1	9	1	5	1	0	2	0	0	1	1	1	3	1	0	2	2	0	0	0	1	0	3	1	3	3	7	1	0	3	0	0	0	2	0	1
ENSG00000155428.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155438.7	1	1	0	1	2	0	0	3	0	0	0	0	0	2	0	0	1	0	2	2	0	1	0	1	0	0	1	0	1	2	0	0	3	1	0	0	1	1	0	2
ENSG00000155463.8	8	0	3	0	3	0	4	0	4	0	15	1	13	2	4	0	5	0	2	0	4	0	12	0	9	0	10	2	8	0	8	0	1	1	4	1	5	1	9	0
ENSG00000155465.14	2	1	0	0	0	0	0	0	2	0	0	0	20	8	1	0	6	3	0	0	0	0	0	0	0	0	4	4	4	7	2	2	0	0	0	0	1	0	1	0
ENSG00000155495.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155506.12	34	20	17	16	35	12	22	16	17	7	25	8	23	11	9	14	19	25	29	16	17	11	34	38	17	5	23	17	27	11	31	20	24	20	36	22	27	20	21	18
ENSG00000155508.9	5	4	3	2	3	0	8	1	3	0	3	0	3	1	2	0	3	1	2	1	6	2	6	2	3	1	8	3	2	3	5	2	9	3	6	1	4	2	1	1
ENSG00000155511.13	0	4	35	23	14	30	43	130	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0
ENSG00000155530.2	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	1	1	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	3	3	11	0	1
ENSG00000155542.7	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
ENSG00000155545.15	3	3	2	1	1	3	1	2	0	0	0	2	1	1	0	3	1	3	4	4	0	3	0	1	2	0	0	4	1	2	0	2	1	1	1	4	1	0	1	2
ENSG00000155561.10	3	3	10	8	9	4	7	6	7	0	5	0	6	4	2	3	5	9	5	8	9	11	9	3	3	2	7	10	14	4	11	6	11	15	7	5	8	7	9	6
ENSG00000155592.11	3	0	3	1	1	1	3	0	0	0	1	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	1	0	1	0	4	0
ENSG00000155621.10	2	7	1	4	2	5	0	5	0	2	0	0	0	6	0	3	1	6	1	4	0	8	1	7	1	1	1	11	0	5	0	11	0	9	3	9	1	1	0	6
ENSG00000155622.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155629.10	1	4	1	0	1	0	0	0	11	7	4	0	12	2	18	18	11	12	15	24	2	1	45	41	0	0	5	2	51	61	5	9	2	1	6	4	11	10	0	7
ENSG00000155636.10	1	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	1	0	0	1	2	2	2	2	3	0	4	2	4	0	0	1	2
ENSG00000155657.19	1	0	0	0	0	1	0	1	0	0	417	58	0	0	0	0	6	3	0	0	25	3	11	2	1460	275	1	0	3	1	3	0	11	4	31	5	2	1	3	0
ENSG00000155659.10	6	2	1	0	0	0	2	0	2	0	5	1	2	0	0	1	18	2	6	0	0	0	1	0	0	0	3	2	0	0	1	0	1	0	0	0	0	0	1	0
