GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000000003.10	10	1	2	0	1	0	9	1	32	0	1	0	19	0	15	0	7	1	9	3	17	4	46	0	2	0	17	2	10	0	9	0	7	0	22	1	31	0	12	5
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	7	19	4	19	3	9	2	7	2	3	7	2	3	12	4	9	1	3	1	13	8	11	3	10	4	5	3	14	7	8	11	12	4	25	3	24	2	8	5	11
ENSG00000000457.9	11	7	8	12	3	8	3	8	0	3	4	2	2	8	8	12	4	10	12	23	15	15	9	11	5	0	10	13	4	23	7	23	7	33	9	33	8	14	12	13
ENSG00000000460.12	4	0	3	7	3	2	2	6	3	1	0	2	2	1	1	13	2	3	1	12	2	6	1	2	0	3	0	4	2	7	5	11	11	36	3	8	5	5	1	9
ENSG00000000938.8	2	2	0	0	0	0	1	0	5	1	5	1	1	0	2	2	28	41	2	1	4	1	2	0	0	0	1	1	49	21	5	5	1	5	0	2	2	3	2	4
ENSG00000000971.11	38	6	4	4	3	0	2	3	263	34	16	4	13	6	410	262	26	15	5	5	26	16	13	13	16	8	30	23	7	2	30	37	10	7	67	38	60	43	5	5
ENSG00000001036.9	2	1	0	3	0	1	0	0	0	0	1	0	2	1	2	1	3	5	5	3	0	3	1	1	1	0	2	5	3	2	2	2	0	1	1	2	1	1	1	4
ENSG00000001084.6	22	15	11	13	14	13	4	6	54	61	7	4	18	14	44	18	12	7	9	17	34	43	6	13	12	6	38	41	25	17	23	37	14	14	16	20	46	128	12	22
ENSG00000001460.13	0	2	6	20	5	15	0	3	0	0	1	2	1	1	0	0	6	4	0	2	0	5	0	3	0	0	2	7	0	1	2	1	1	2	0	5	7	9	1	5
ENSG00000001461.12	13	6	95	69	91	18	16	3	9	2	21	0	14	2	5	1	31	12	8	3	150	145	30	19	9	1	20	16	20	12	20	20	20	42	50	44	25	39	17	8
ENSG00000001497.12	9	6	16	6	6	7	11	7	19	3	3	1	2	4	10	1	10	2	6	3	19	3	10	2	2	1	14	5	11	6	7	3	8	7	9	5	11	4	13	8
ENSG00000001561.6	13	0	38	6	13	2	5	1	1	0	14	0	31	4	2	0	19	2	2	0	32	1	16	1	20	1	12	1	25	2	12	0	11	5	27	0	15	0	1	0
